time/fps,rollout/episode_length,rollout/total_reward,rollout/episode_reward,time/iterations,time/total_timesteps,rollout/rew_surface_coverage_2d,rollout/rew_collision,rollout/rew_termination,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range_vf,train/n_updates,time/training,train/approx_kl,train/loss
121,3.807,0.237,0.236,1,16384,0.336,-0.1,0.002,,,,,,,,,,,,
120,3.772,0.234,0.234,2,32768,0.332,-0.1,0.002,-9.707077160477638,0.0032827258110046387,0.0001,0.2,-0.02040999377713888,12.868954211473465,0.19793701171875,0.2,5,7.807109594345093,0.01731563,9.193960189819336
120,3.973,0.242,0.237,3,49152,0.339,-0.1,0.002,-9.685333417356015,0.14020287990570068,0.0001,0.2,-0.025585670743021184,10.618293265998364,0.2280517578125,0.2,10,7.748101472854614,0.018696751,12.25721549987793
120,4.028,0.241,0.243,4,65536,0.338,-0.1,0.002,-9.66604973822832,0.1358412504196167,0.0001,0.2,-0.030754996425821447,10.252008040249347,0.2502197265625,0.2,15,7.723212003707886,0.021320242,8.279901504516602
120,4.152,0.253,0.25,5,81920,0.35,-0.1,0.003,-9.635562965273857,0.24102509021759033,0.0001,0.2,-0.0383656815145514,9.640221229195594,0.268017578125,0.2,20,7.743370294570923,0.022138696,6.686664581298828
120,4.337,0.275,0.268,6,98304,0.372,-0.1,0.003,-9.59694438278675,0.21900177001953125,0.0001,0.2,-0.04128507422137773,9.8646333925426,0.2882568359375,0.2,25,7.693041801452637,0.025061417,9.169416427612305
120,4.72,0.277,0.282,7,114688,0.373,-0.1,0.004,-9.558348627388478,0.19513744115829468,0.0001,0.2,-0.04498576340120053,10.381316331773997,0.3250732421875,0.2,30,7.702163219451904,0.028014813,5.834167957305908
120,4.827,0.28,0.281,8,131072,0.376,-0.1,0.003,-9.5005203217268,0.23087185621261597,0.0001,0.2,-0.04625193863321329,10.382527983933688,0.33443603515625,0.2,35,7.626143217086792,0.02871292,8.48293399810791
120,4.989,0.304,0.295,9,147456,0.399,-0.1,0.005,-9.439888356626033,0.23643195629119873,0.0001,0.2,-0.045598499415791596,10.984732139110566,0.340283203125,0.2,40,7.610011100769043,0.02881346,9.443110466003418
120,5.092,0.299,0.302,10,163840,0.393,-0.099,0.006,-9.394337011873722,0.22853434085845947,0.0001,0.2,-0.04772611669759499,10.693681904673577,0.3608642578125,0.2,45,7.565614461898804,0.031483654,7.986032009124756
120,6.507,0.35,0.353,11,180224,0.44,-0.099,0.009,-9.33406871110201,0.2586444020271301,0.0001,0.2,-0.04753522122628055,10.630727849900723,0.35889892578125,0.2,50,7.542726516723633,0.032564443,7.398952484130859
120,5.961,0.336,0.333,12,196608,0.428,-0.099,0.007,-9.253727804124356,0.24437320232391357,0.0001,0.2,-0.046737501352617984,11.277694325894117,0.36173095703125,0.2,55,7.533456802368164,0.032327253,8.019827842712402
120,6.031,0.346,0.334,13,212992,0.435,-0.099,0.009,-9.170893549919128,0.26380497217178345,0.0001,0.2,-0.045161357420147395,10.990144244581462,0.38189697265625,0.2,60,7.490955829620361,0.03395254,10.123103141784668
120,6.523,0.334,0.34,14,229376,0.424,-0.098,0.007,-9.129000128805638,0.24600273370742798,0.0001,0.2,-0.04603824279110995,11.332795655727386,0.37540283203125,0.2,65,7.537203550338745,0.03418012,7.374605178833008
120,6.848,0.384,0.365,15,245760,0.468,-0.096,0.012,-9.082028566300869,0.2581968903541565,0.0001,0.2,-0.0477433522210049,11.221380818635225,0.385546875,0.2,70,7.460960388183594,0.03652461,8.991084098815918
120,7.612,0.398,0.383,16,262144,0.482,-0.097,0.012,-9.029935936629773,0.2893941402435303,0.0001,0.2,-0.0470331467804499,10.679733546078205,0.3895751953125,0.2,75,7.421695947647095,0.037413403,10.843728065490723
120,7.316,0.378,0.381,17,278528,0.463,-0.096,0.011,-8.970119681954383,0.31312012672424316,0.0001,0.2,-0.04565941431646934,10.520918824523687,0.39716796875,0.2,80,7.4012815952301025,0.038583577,6.4920125007629395
119,8.185,0.425,0.417,18,294912,0.507,-0.095,0.014,-8.930600990355014,0.2783403992652893,0.0001,0.2,-0.046447262798028535,10.889087824523449,0.39896240234375,0.2,85,7.380326271057129,0.039299466,7.877123832702637
120,7.732,0.402,0.389,19,311296,0.484,-0.095,0.013,-8.884080445766449,0.31913667917251587,0.0001,0.2,-0.04562208868374,10.593317030370235,0.40206298828125,0.2,90,7.345095634460449,0.038375683,7.231133937835693
120,8.136,0.408,0.406,20,327680,0.492,-0.097,0.012,-8.838933070003986,0.3129206895828247,0.0001,0.2,-0.04426994164532516,10.875784035027028,0.3956787109375,0.2,95,7.345633506774902,0.039759964,6.681910991668701
120,7.911,0.382,0.391,21,344064,0.465,-0.095,0.011,-8.770862591266631,0.33011019229888916,0.0001,0.2,-0.04690652016142849,10.36114099100232,0.41912841796875,0.2,100,7.314899444580078,0.045796536,8.058645248413086
120,8.43,0.395,0.404,22,360448,0.475,-0.093,0.013,-8.744402913437812,0.33755743503570557,0.0001,0.2,-0.042949008432077,9.928274424788453,0.4086382772020725,0.2,105,6.655872821807861,0.041680988,6.805703639984131
120,8.686,0.435,0.398,23,376832,0.51,-0.089,0.014,-8.68110844862442,0.3163495659828186,0.0001,0.2,-0.04656506416908257,10.186166482271204,0.42595108695652173,0.2,110,6.999732732772827,0.04579719,8.947087287902832
119,9.756,0.455,0.441,24,393216,0.531,-0.092,0.015,-8.616054275631905,0.32084739208221436,0.0001,0.2,-0.04393678953201743,10.352846384048462,0.4341552734375,0.2,115,7.257639408111572,0.047076046,8.537956237792969
120,9.537,0.417,0.434,25,409600,0.498,-0.094,0.013,-8.567251600325108,0.35405027866363525,0.0001,0.2,-0.04685647473379504,9.781057001650334,0.43935546875,0.2,120,7.277118682861328,0.05127927,7.009328365325928
