rollout/episode_reward,rollout/episode_length,time/fps,rollout/rew_collision,rollout/rew_termination,rollout/total_reward,time/iterations,rollout/rew_surface_coverage_2d,time/total_timesteps,train/loss,train/approx_kl,time/training,train/value_loss,train/clip_range_vf,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/n_updates
0.598,19.91,109,-0.062,0.022,0.606,1,0.646,16384,,,,,,,,,,,,
0.557,17.855,109,-0.065,0.018,0.565,2,0.612,32768,4.272736072540283,0.07561107,3.88765811920166,7.355401114267134,0.2,0.5254881381988525,0.0001,0.2,-0.005320737004309081,0.35992217898832685,-4.293823718096959,5
0.559,18.075,108,-0.061,0.022,0.596,3,0.635,49152,5.029065132141113,0.046456642,3.566478967666626,7.7047396162409845,0.2,0.49625349044799805,0.0001,0.2,-0.016899022147243405,0.34510030864197533,-4.2456768118304975,10
0.597,19.626,109,-0.056,0.022,0.618,4,0.651,65536,6.896063804626465,0.02514407,0.979569673538208,7.4312597009870744,0.2,0.5180097222328186,0.0001,0.2,0.020969102304014893,0.2721354166666667,-4.318936830096774,15
0.615,19.663,109,-0.059,0.022,0.585,5,0.621,81920,6.33146858215332,0.04127219,1.7136328220367432,6.822695861072661,0.2,0.5526565909385681,0.0001,0.2,0.008729485648467481,0.302623820754717,-4.23086371661732,20
0.625,21.158,109,-0.063,0.023,0.613,6,0.653,98304,4.955157279968262,0.052489325,2.902907609939575,7.5531965480761585,0.2,0.5063295364379883,0.0001,0.2,-0.008088189048155416,0.3366104868913858,-4.246212433339951,25
0.574,18.833,109,-0.064,0.023,0.599,7,0.639,114688,4.096251964569092,0.08469845,1.4227912425994873,7.137695833352896,0.2,0.536833792924881,0.0001,0.2,0.01692046712940702,0.3041466346153846,-4.2419187692495495,30
0.584,19.248,109,-0.058,0.024,0.624,8,0.659,131072,5.725535869598389,0.061536174,1.4343156814575195,6.999847483088952,0.2,0.538279265165329,0.0001,0.2,0.01646422702136613,0.29520515267175573,-4.2299506227478725,35
0.606,19.274,109,-0.063,0.025,0.615,9,0.653,147456,5.245177745819092,0.07749362,2.7820940017700195,6.9188865743258585,0.2,0.5416153371334076,0.0001,0.2,-0.008604597597444568,0.33335359922178986,-4.205339397437841,40
0.592,19.726,109,-0.061,0.023,0.607,10,0.645,163840,4.078523635864258,0.048708797,2.8790059089660645,7.0855761277141855,0.2,0.5455160439014435,0.0001,0.2,-0.00891161120649594,0.34718983208955223,-4.208361658587385,45
0.606,19.994,109,-0.07,0.02,0.554,11,0.604,180224,5.066959857940674,0.045234382,3.802896499633789,6.939738249236887,0.2,0.5471019744873047,0.0001,0.2,-0.019948901936665854,0.35640092329545453,-4.179218706759539,50
0.62,20.11,109,-0.055,0.026,0.649,12,0.678,196608,5.89589262008667,0.03968848,1.9633994102478027,7.229624476512718,0.2,0.5243086516857147,0.0001,0.2,0.004048685407963212,0.3190467877094972,-4.169401865431716,55
0.571,19.179,109,-0.062,0.02,0.563,13,0.605,212992,4.985255718231201,0.06213774,2.7917704582214355,7.031402224279279,0.2,0.5525060892105103,0.0001,0.2,-0.007491592145219272,0.3419703185328185,-4.196853686483671,60
0.62,20.742,108,-0.059,0.025,0.607,14,0.641,229376,3.8133902549743652,0.076614715,1.3880949020385742,7.1078074699224425,0.2,0.5349238216876984,0.0001,0.2,0.017861952174945857,0.30075096899224807,-4.281515827474668,65
0.604,19.837,109,-0.058,0.024,0.624,15,0.658,245760,3.4514827728271484,0.07689649,4.193631649017334,7.328451628512052,0.2,0.5203240513801575,0.0001,0.2,-0.0218597058945099,0.35646049222797926,-4.239759317333834,70
0.598,18.86,109,-0.061,0.023,0.598,16,0.636,262144,5.970878601074219,0.06013942,1.4349637031555176,6.884595603653879,0.2,0.5617027878761292,0.0001,0.2,0.014316787026032354,0.3078835227272727,-4.276985204581059,75
0.572,18.648,109,-0.055,0.022,0.594,17,0.627,278528,5.26595401763916,0.048277374,2.8886826038360596,6.892801875075443,0.2,0.5524988174438477,0.0001,0.2,-0.009620728448975041,0.34412755576208176,-4.3048539764375935,80
0.552,17.676,108,-0.063,0.02,0.565,18,0.608,294912,7.174131870269775,0.043547556,3.9894320964813232,7.2653226038304775,0.2,0.5299076437950134,0.0001,0.2,-0.02112765172824546,0.3605606368563686,-4.262044858803271,85
0.553,17.67,108,-0.067,0.019,0.547,19,0.594,311296,5.997315406799316,0.049936682,3.0839948654174805,7.578206896781921,0.2,0.5165996253490448,0.0001,0.2,-0.010968965817786133,0.3594292534722222,-4.2972709950473575,90
0.572,18.099,108,-0.066,0.02,0.591,20,0.636,327680,6.613943099975586,0.0404627,2.1482982635498047,7.391975722312927,0.2,0.5321057736873627,0.0001,0.2,0.0006268675485625863,0.3261328125,-4.240613659620285,95
0.605,20.028,108,-0.06,0.024,0.617,21,0.654,344064,6.307456970214844,0.048639823,3.3211541175842285,7.097636391134823,0.2,0.5460018813610077,0.0001,0.2,-0.012382181808717694,0.3574346405228758,-4.243753036642386,100
0.601,19.474,108,-0.06,0.02,0.566,22,0.606,360448,6.233860492706299,0.04061923,2.7432312965393066,7.44150099660836,0.2,0.5294912457466125,0.0001,0.2,-0.007328671907239101,0.34120710784313724,-4.215937506918814,105
0.558,18.222,107,-0.056,0.024,0.611,23,0.642,376832,6.738282680511475,0.03911897,1.7982535362243652,7.588437990969922,0.2,0.5288925170898438,0.0001,0.2,0.006729295062103185,0.31127635542168675,-4.246284217719572,110
0.582,18.737,107,-0.065,0.022,0.577,24,0.62,393216,7.058182716369629,0.043738276,1.9856436252593994,7.455205215202583,0.2,0.5235450267791748,0.0001,0.2,0.005483177710570149,0.35349416208791207,-4.272172921306485,115
0.55,17.559,107,-0.075,0.019,0.558,25,0.614,409600,5.814204216003418,0.048067965,3.5826621055603027,7.3732055701293024,0.2,0.5313064754009247,0.0001,0.2,-0.0175586451060354,0.366577515015015,-4.345508878295486,120
0.592,19.098,107,-0.063,0.023,0.577,26,0.616,425984,4.644836902618408,0.0425758,3.488008737564087,7.343523686884358,0.2,0.530157595872879,0.0001,0.2,-0.018918657891636846,0.3398316563467492,-4.316362138872176,125
0.607,19.629,107,-0.063,0.023,0.597,27,0.637,442368,5.852109909057617,0.06575679,1.4066269397735596,7.132409951159063,0.2,0.5423789918422699,0.0001,0.2,0.01619838938856398,0.29896230916030536,-4.341883790402012,130
0.617,20.237,107,-0.067,0.021,0.572,28,0.618,458752,4.865218639373779,0.046226878,1.7500674724578857,7.311843462516925,0.2,0.5430934429168701,0.0001,0.2,0.007351856278769809,0.32012078220858897,-4.249883139791664,135
0.623,20.763,107,-0.063,0.025,0.611,29,0.649,475136,6.351727485656738,0.042139497,2.2087035179138184,7.454175530983309,0.2,0.5231767892837524,0.0001,0.2,0.0018979774769670857,0.34201816502463056,-4.264710048149372,140
0.602,20.392,107,-0.062,0.026,0.606,30,0.643,491520,4.3651957511901855,0.053749382,2.843137264251709,6.865606940709627,0.2,0.557926744222641,0.0001,0.2,-0.007520505309534761,0.35877403846153844,-4.293834754136893,145
0.628,20.554,106,-0.055,0.029,0.649,31,0.675,507904,5.935922622680664,0.04680637,3.652596950531006,6.4441162379072985,0.2,0.5737060904502869,0.0001,0.2,-0.018358037440491835,0.3733372813411079,-4.263638912762567,150
0.634,20.719,106,-0.069,0.024,0.603,32,0.649,524288,3.7585675716400146,0.07389663,1.4125392436981201,7.23859284140847,0.2,0.5453902184963226,0.0001,0.2,0.014805489311446294,0.2969933712121212,-4.260893682638804,155
0.554,17.923,108,-0.063,0.02,0.574,33,0.617,540672,6.535726070404053,0.047872316,3.202364921569824,6.4989418887451995,0.2,0.5889769792556763,0.0001,0.2,-0.0137430463758166,0.35462982382550334,-4.219074698902617,160
0.579,19.027,108,-0.068,0.019,0.54,34,0.589,557056,5.9668965339660645,0.048206713,3.5291309356689453,7.779670716790249,0.2,0.5143819153308868,0.0001,0.2,-0.018119627746556878,0.36570623088685017,-4.193023976929691,165
0.613,20.012,107,-0.06,0.024,0.612,35,0.648,573440,4.26060152053833,0.049772654,3.3715767860412598,7.090994745587546,0.2,0.5531496107578278,0.0001,0.2,-0.015544493156411345,0.36862599206349206,-4.160133093879336,170
0.615,20.301,108,-0.055,0.026,0.622,36,0.652,589824,5.1347198486328125,0.059821684,1.40604829788208,6.988351355982191,0.2,0.5545287430286407,0.0001,0.2,0.015365386566587987,0.3203125,-4.195706600451287,175
0.588,19.566,108,-0.063,0.021,0.586,37,0.629,606208,3.757880926132202,0.04088675,2.625086545944214,6.899687025390688,0.2,0.5441277921199799,0.0001,0.2,-0.004316161239718194,0.350922131147541,-4.2003919071838505,180
0.62,20.408,108,-0.058,0.026,0.637,38,0.668,622592,4.8359174728393555,0.050710406,4.1112449169158936,7.047054331964223,0.2,0.5458278656005859,0.0001,0.2,-0.02261180324840764,0.3873936518324607,-4.172791113404079,185
0.576,18.907,108,-0.068,0.019,0.554,39,0.602,638976,3.7862045764923096,0.045767374,2.902881383895874,6.910256282371633,0.2,0.5611311495304108,0.0001,0.2,-0.008999826687881175,0.34805836397058826,-4.162090417216806,190
0.599,19.48,108,-0.06,0.023,0.608,40,0.644,655360,4.5208516120910645,0.0537028,3.098761796951294,6.8718302915836205,0.2,0.5633569955825806,0.0001,0.2,-0.0124438701197505,0.3896821120689655,-4.186922363577218,195
0.618,20.557,108,-0.059,0.025,0.635,41,0.669,671744,3.3353421688079834,0.04710359,1.463724136352539,7.268610350290934,0.2,0.5541388392448425,0.0001,0.2,0.01669990614194561,0.29965277777777777,-4.244541676839193,200
0.597,19.739,108,-0.056,0.023,0.596,42,0.629,688128,8.146766662597656,0.02820413,1.2527904510498047,6.622677664471488,0.2,0.5762772858142853,0.0001,0.2,0.015760118149730384,0.3060229700854701,-4.243938262646015,205
0.579,18.483,108,-0.065,0.022,0.578,43,0.621,704512,3.4079666137695312,0.040367827,2.1182174682617188,6.983320501115587,0.2,0.5561115443706512,0.0001,0.2,0.00021424742105106512,0.3269412878787879,-4.2804413275285205,210
0.566,18.294,108,-0.07,0.021,0.543,44,0.593,720896,4.62687873840332,0.056620937,2.8678696155548096,7.073538122505977,0.2,0.5429121553897858,0.0001,0.2,-0.00545152782558881,0.3549449233716475,-4.1975174032408615,215
0.606,20.065,108,-0.063,0.024,0.612,45,0.651,737280,6.742178440093994,0.040549934,2.577761650085449,7.036723791075147,0.2,0.556207925081253,0.0001,0.2,-0.0037688633392387923,0.3517239152892562,-4.15561158696482,220
0.598,19.469,108,-0.061,0.024,0.607,46,0.644,753664,3.9935665130615234,0.07651536,1.382948875427246,7.341320333554763,0.2,0.5362825095653534,0.0001,0.2,0.02202839959528326,0.31031976744186046,-4.1814454544422235,225
0.57,18.63,108,-0.069,0.019,0.555,47,0.605,770048,6.41471529006958,0.048877995,1.7271153926849365,7.063615063090383,0.2,0.547492116689682,0.0001,0.2,0.00835469459976863,0.35161072530864196,-4.152332926973885,230
0.609,19.25,108,-0.059,0.023,0.607,48,0.643,786432,2.560106039047241,0.063626364,4.2330827713012695,6.935251795095841,0.2,0.5553280413150787,0.0001,0.2,-0.02478411074415757,0.3946700507614213,-4.162663374455447,235
0.609,19.416,108,-0.067,0.026,0.601,49,0.642,802816,4.627527236938477,0.04226913,2.48189377784729,7.193997056969317,0.2,0.5531927049160004,0.0001,0.2,-0.0049331388496733335,0.3438176406926407,-4.122028228008386,240
0.621,19.465,108,-0.067,0.025,0.61,50,0.651,819200,7.160492420196533,0.047152583,1.5067603588104248,7.285285183361599,0.2,0.5359557271003723,0.0001,0.2,0.014558757429144212,0.32059151785714285,-4.125419546876635,245
0.633,19.55,108,-0.06,0.025,0.627,51,0.663,835584,4.774789810180664,0.04481875,2.063112497329712,6.887498086260766,0.2,0.5665974915027618,0.0001,0.2,0.0033283357522882443,0.3550257731958763,-4.150821894714513,250
0.598,19.105,108,-0.06,0.026,0.617,52,0.651,851968,3.8315486907958984,0.052892976,2.823178768157959,6.706478205923799,0.2,0.566577285528183,0.0001,0.2,-0.006519792994533881,0.3571768060836502,-4.202373052277946,255
0.597,19.575,107,-0.062,0.021,0.562,53,0.603,868352,4.515257835388184,0.045460448,1.5895695686340332,7.177492030679363,0.2,0.5356014370918274,0.0001,0.2,0.016624924592826874,0.3301048801369863,-4.21201586886628,260
0.581,18.835,108,-0.065,0.022,0.583,54,0.626,884736,3.6663601398468018,0.041914176,1.6216015815734863,6.997593622207642,0.2,0.5486763417720795,0.0001,0.2,0.013628266472369432,0.3223958333333333,-4.220144313176473,265
0.581,18.519,108,-0.067,0.02,0.566,55,0.612,901120,6.635499954223633,0.05734016,3.135435104370117,6.925851259560421,0.2,0.5599455237388611,0.0001,0.2,-0.011070311898044471,0.3600215517241379,-4.280969478344095,270
0.589,19.641,107,-0.06,0.022,0.603,56,0.64,917504,6.461693286895752,0.06330359,1.417076587677002,7.154680997805488,0.2,0.5567696690559387,0.0001,0.2,0.020330831555551605,0.3077420112781955,-4.284239473199486,275
0.595,19.408,108,-0.058,0.024,0.608,57,0.641,933888,6.97737979888916,0.024437586,1.0363044738769531,6.9893267303705215,0.2,0.5643582344055176,0.0001,0.2,0.019091474833354976,0.28125,-4.233963496983051,280
