rollout/episode_reward,rollout/rew_surface_coverage_2d,time/total_timesteps,rollout/rew_collision,rollout/rew_termination,rollout/total_reward,rollout/episode_length,time/iterations,time/fps,time/training,train/n_updates,train/policy_gradient_loss,train/clip_range_vf,train/loss,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate
0.501,0.564,16384,-0.068,0.018,0.515,17.716,1,258,,,,,,,,,,,,
0.54,0.591,32768,-0.063,0.021,0.549,18.713,2,256,6.600749969482422,5,-0.04399265463580378,0.2,6.294565677642822,9.105831068754195,0.41624755859375,0.2,0.063963756,-4.123520538955927,0.4746721386909485,0.0001
0.563,0.569,49152,-0.064,0.017,0.522,19.989,3,247,6.487819194793701,10,-0.04434770081134047,0.2,10.029603958129883,8.351045449823141,0.40445556640625,0.2,0.06309223,-4.1067232944071295,0.4888477921485901,0.0001
0.522,0.59,65536,-0.062,0.021,0.549,18.269,4,247,6.941430568695068,15,-0.04392903009356815,0.2,4.408293724060059,7.530594665557146,0.4025146484375,0.2,0.06463528,-4.082570729777217,0.5134682953357697,0.0001
0.499,0.585,81920,-0.062,0.019,0.543,17.882,5,247,6.940297365188599,20,-0.04437209753523348,0.2,4.814440727233887,7.585931186378002,0.4021240234375,0.2,0.06321132,-4.065855965763331,0.5023523271083832,0.0001
0.505,0.592,98304,-0.063,0.019,0.548,17.974,6,247,6.880801439285278,25,-0.04289365796284983,0.2,5.086794853210449,7.284726500138641,0.4013427734375,0.2,0.062945716,-4.097139001265168,0.5235547721385956,0.0001
0.523,0.56,114688,-0.064,0.019,0.515,18.308,7,246,6.935722827911377,30,-0.04391466619708808,0.2,5.72877311706543,7.266122851148248,0.4074462890625,0.2,0.065681726,-4.101499935984611,0.5257035493850708,0.0001
0.53,0.567,131072,-0.066,0.021,0.522,18.155,8,247,6.951395273208618,35,-0.04385531662992435,0.2,4.080499172210693,6.800488906353712,0.42044677734375,0.2,0.06606807,-4.058644578978419,0.5429875552654266,0.0001
0.544,0.607,147456,-0.06,0.023,0.57,19.27,9,247,6.749107599258423,40,-0.0433310862412327,0.2,4.410044193267822,6.4658641867339615,0.41201171875,0.2,0.06809738,-4.064446569606662,0.5620716214179993,0.0001
0.484,0.569,163840,-0.063,0.019,0.525,18.014,10,247,6.689884185791016,45,-0.04274832060109475,0.2,3.2242164611816406,6.11987945176661,0.4100830078125,0.2,0.06905125,-4.111961000785231,0.5939061343669891,0.0001
