rollout/rew_surface_coverage_2d,time/iterations,rollout/rew_collision,time/total_timesteps,rollout/episode_reward,time/fps,rollout/episode_length,rollout/rew_termination,rollout/total_reward,time/training,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,train/clip_range_vf,train/loss,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_fraction
0.599,1,-0.063,16384,0.568,258,19.581,0.022,0.559,,,,,,,,,,,,
0.597,2,-0.069,32768,0.525,256,18.254,0.021,0.549,6.563830137252808,0.13009842,0.2,0.0001,5,0.2,3.936143398284912,-0.03161081669604755,-3.4307193633168938,6.152551313489676,0.6117821335792542,0.507177734375
0.62,3,-0.059,49152,0.554,256,18.766,0.022,0.582,6.418442010879517,0.12805979,0.2,0.0001,10,0.2,3.9186999797821045,-0.038317486381856725,-3.415131529048085,6.14128392264247,0.6099767982959747,0.50380859375
0.589,4,-0.067,65536,0.566,256,19.951,0.021,0.542,3.552459478378296,0.10136467,0.2,0.0001,15,0.2,3.968843460083008,-0.011478649939156392,-3.4085170938210054,5.988706421445716,0.6192122995853424,0.44038529829545453
0.612,5,-0.058,81920,0.582,256,20.621,0.023,0.577,6.452849864959717,0.13094866,0.2,0.0001,20,0.2,4.673564434051514,-0.038138524808891815,-3.438294880092144,5.5969773307442665,0.6448844969272614,0.484765625
0.599,6,-0.064,98304,0.572,256,19.79,0.023,0.558,5.25816011428833,0.18766485,0.2,0.0001,25,0.2,3.1056063175201416,-0.03200205069085057,-3.468705614104526,5.692974796276967,0.6382805109024048,0.4676914360687023
0.548,7,-0.067,114688,0.501,256,17.702,0.019,0.5,3.523094415664673,0.10219991,0.2,0.0001,30,0.2,3.6569676399230957,-0.012970438801417777,-3.4470244676991224,6.16550542985328,0.6179335117340088,0.4263328530259366
0.562,8,-0.064,131072,0.545,256,18.72,0.02,0.517,6.509841442108154,0.12492808,0.2,0.0001,35,0.2,2.98007869720459,-0.040546879233443175,-3.4380707014352083,6.302215677127242,0.6011441051959991,0.48531494140625
0.625,9,-0.062,147456,0.549,256,19.33,0.023,0.586,2.970038414001465,0.12096918,0.2,0.0001,40,0.2,5.098039150238037,-0.0027732691814396845,-3.4754768339254087,6.058214698403568,0.6140407919883728,0.42396716101694915
0.572,10,-0.069,163840,0.546,257,19.256,0.02,0.524,6.445209741592407,0.12359737,0.2,0.0001,45,0.2,5.01547384262085,-0.03917745378421387,-3.42031415104866,5.842673886567354,0.6321612596511841,0.47532958984375
0.603,11,-0.065,180224,0.533,255,19.004,0.022,0.559,6.4589996337890625,0.13255459,0.2,0.0001,50,0.2,3.22973895072937,-0.03911320265615359,-3.4163781471550463,5.611482613161206,0.6376977562904358,0.49720458984375
0.565,12,-0.063,196608,0.546,256,19.299,0.019,0.521,6.45442533493042,0.13524829,0.2,0.0001,55,0.2,3.145655870437622,-0.03906807437670068,-3.439747479557991,6.173021546751261,0.6053071916103363,0.48048095703125
0.588,13,-0.057,212992,0.55,256,19.238,0.021,0.552,6.488938570022583,0.12709926,0.2,0.0001,60,0.2,4.236544609069824,-0.0406673466306529,-3.4364797662943602,5.708823814615608,0.6288777589797974,0.48125
0.629,14,-0.057,229376,0.535,256,19.131,0.023,0.595,6.63873553276062,0.1288501,0.2,0.0001,65,0.2,3.592097043991089,-0.03836475163916475,-3.450701205059886,5.602747868001461,0.6410423815250397,0.47847900390625
0.587,15,-0.067,245760,0.542,256,19.233,0.021,0.541,6.476537466049194,0.12646544,0.2,0.0001,70,0.2,4.492749214172363,-0.0392465842072852,-3.420512632653117,6.3213769242167475,0.6060189008712769,0.47677001953125
0.598,16,-0.064,262144,0.532,256,18.414,0.021,0.556,6.45251989364624,0.13252753,0.2,0.0001,75,0.2,5.696585655212402,-0.04014373095851624,-3.4114237066358326,6.371768211573363,0.5972290933132172,0.48685302734375
0.618,17,-0.063,278528,0.563,256,20.573,0.024,0.579,6.461665868759155,0.12938447,0.2,0.0001,80,0.2,2.78340482711792,-0.038167914555378955,-3.381816677376628,5.759747277572751,0.6299294829368591,0.48323974609375
0.602,18,-0.06,294912,0.557,257,19.524,0.022,0.564,6.469529151916504,0.14097765,0.2,0.0001,85,0.2,5.465281963348389,-0.03753349723192514,-3.3310022465884686,6.018668839335442,0.6197358071804047,0.4900634765625
0.572,19,-0.069,311296,0.528,258,18.13,0.02,0.523,6.4207727909088135,0.13267645,0.2,0.0001,90,0.2,4.043554306030273,-0.037874123288929695,-3.322385199368,5.838246569409966,0.626067191362381,0.47891845703125
0.608,20,-0.061,327680,0.573,257,19.886,0.023,0.57,6.4548399448394775,0.14789775,0.2,0.0001,95,0.2,6.168767929077148,-0.03968093597213738,-3.23172560967505,6.075708417966962,0.6166332364082336,0.4838134765625
