time/fps,rollout/rew_collision,time/iterations,rollout/total_reward,rollout/rew_surface_coverage_2d,rollout/episode_reward,rollout/rew_termination,rollout/episode_length,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/value_loss,train/entropy_loss,train/loss,train/clip_range_vf,train/learning_rate,time/training,train/clip_fraction,train/explained_variance
252,-0.066,1,0.532,0.578,0.557,0.02,19.113,16384,,,,,,,,,,,,
252,-0.074,2,0.477,0.535,0.519,0.017,18.07,32768,0.2,-0.03512452801296604,0.17536342,5,5.389623172208667,-2.849821067601442,2.880666732788086,0.2,0.0001,6.958237648010254,0.501513671875,0.6455407440662384
252,-0.066,3,0.522,0.568,0.517,0.02,17.925,49152,0.2,-0.0323955611223937,0.17650265,10,5.580610746145249,-2.8450314652174713,4.603045463562012,0.2,0.0001,6.560072660446167,0.47073974609375,0.6415245532989502
252,-0.063,4,0.558,0.597,0.577,0.024,20.184,65536,0.2,-0.032410023642296434,0.17397627,15,5.25318092033267,-2.858902993053198,2.62646484375,0.2,0.0001,6.542331218719482,0.48907470703125,0.6521986722946167
253,-0.075,5,0.512,0.568,0.539,0.019,18.615,81920,0.2,-0.034758332981436976,0.17921433,20,5.66575902365148,-2.811302703991532,3.82218861579895,0.2,0.0001,6.551380395889282,0.48792724609375,0.631182849407196
254,-0.068,6,0.56,0.606,0.564,0.022,18.957,98304,0.2,0.016935158683005356,0.12899934,25,5.397521047031178,-2.87191716596192,4.389856815338135,0.2,0.0001,2.080810785293579,0.38752297794117646,0.6591177880764008
254,-0.062,7,0.537,0.58,0.551,0.019,18.673,114688,0.2,-0.03289608657287317,0.1776665,30,5.536012797057628,-2.8598822955042125,3.683490753173828,0.2,0.0001,6.592449188232422,0.48079833984375,0.6416798233985901
254,-0.057,8,0.618,0.652,0.601,0.024,20.411,131072,0.2,-0.0345223664342484,0.18861285,35,5.705166669934988,-2.833355576172471,3.781342029571533,0.2,0.0001,6.519392251968384,0.48492431640625,0.6301361918449402
253,-0.062,9,0.58,0.62,0.556,0.023,19.185,147456,0.2,-0.03493540563940769,0.17978841,40,5.08237841129303,-2.912960513681173,2.8137083053588867,0.2,0.0001,6.511293888092041,0.48475341796875,0.674894243478775
254,-0.068,10,0.499,0.549,0.526,0.017,18.269,163840,0.2,0.009591988214616026,0.2020347,45,5.577487324953972,-2.8971873553058183,4.723372936248779,0.2,0.0001,2.7204151153564453,0.4109316479400749,0.6513959467411041
254,-0.06,11,0.562,0.601,0.592,0.021,20.597,180224,0.2,-0.003931237461039395,0.13555169,50,5.833313674405456,-2.8931777216613868,3.6685538291931152,0.2,0.0001,3.162052631378174,0.42011655948553056,0.6325787603855133
254,-0.064,12,0.552,0.595,0.537,0.02,18.464,196608,0.2,-0.0014929699587325255,0.15125223,55,5.459126328627269,-2.9611854275067646,3.6998674869537354,0.2,0.0001,3.0561397075653076,0.4225260416666667,0.6591533720493317
254,-0.059,13,0.579,0.614,0.562,0.024,19.612,212992,0.2,0.004054245336769815,0.23048681,60,5.712158837457643,-2.8722089929302244,4.1360297203063965,0.2,0.0001,2.790860652923584,0.408702098540146,0.6411378979682922
253,-0.062,14,0.559,0.599,0.543,0.022,18.639,229376,0.2,-0.03387667677598074,0.18412694,65,5.252221039310098,-2.8880158219486476,3.6372852325439453,0.2,0.0001,6.5182108879089355,0.4837646484375,0.6670487523078918
249,-0.06,15,0.552,0.592,0.542,0.02,18.62,245760,0.2,-0.01788345356279079,0.17305166,70,5.0686989656460835,-2.9200795304541494,4.5610671043396,0.2,0.0001,4.716609239578247,0.4754731753812636,0.6719584465026855
253,-0.067,16,0.515,0.564,0.532,0.018,17.578,262144,0.2,-0.03776021093945019,0.17497104,75,5.146072683110833,-2.8938697908073663,3.3561363220214844,0.2,0.0001,6.623901605606079,0.48433837890625,0.6620265245437622
251,-0.064,17,0.535,0.577,0.556,0.022,18.954,278528,0.2,-0.025586340310948082,0.23909025,80,5.788655122121175,-2.8483494262803686,5.00908899307251,0.2,0.0001,5.435917615890503,0.4644590435606061,0.6334420144557953
251,-0.07,18,0.533,0.583,0.545,0.019,18.896,294912,0.2,-0.03681321914918954,0.18989363,85,5.606571903452277,-2.895393319800496,3.6893181800842285,0.2,0.0001,6.589284420013428,0.4837646484375,0.6333292126655579
251,-0.066,19,0.548,0.593,0.53,0.021,17.657,311296,0.2,-0.03499929897443508,0.18248719,90,5.363196954876185,-2.9509869046509265,1.708898901939392,0.2,0.0001,6.567344665527344,0.4941162109375,0.640588104724884
251,-0.059,20,0.581,0.618,0.562,0.021,19.279,327680,0.2,-0.03452005668586935,0.17622297,95,5.4298503749072555,-2.911110694333911,2.7314209938049316,0.2,0.0001,6.544283628463745,0.483837890625,0.6451721489429474
